Close,High,Low,Open,Volume,rsi,macd,sma_50,sma_200,Date,action,prob
AAPL,AAPL,AAPL,AAPL,AAPL,,,,,,,
194.67758178710938,197.10020219746903,192.8730755135501,193.0824298832746,78432900,38.82818457533718,-1.061826934272176,205.638115234375,224.7187777709961,2025-05-23,DON'T BUY,0.33
199.60260009765625,200.1309909415137,196.83102019804124,197.6983910952664,56288500,44.869600543730414,-1.29787751776621,205.37889587402344,224.67574234008788,2025-05-27,DON'T BUY,0.255
199.8119659423828,202.11495545301858,199.29353925378823,199.98144837254895,45339700,45.11774352535946,-1.4513252577589242,205.11370819091798,224.61643753051757,2025-05-28,DON'T BUY,0.265
199.3433837890625,203.19167383577107,197.90775006205254,202.9623758748587,51396800,44.63353025350292,-1.5923882998099828,204.86523498535155,224.54025230407714,2025-05-29,DON'T BUY,0.22
200.24066162109375,201.3472946799051,196.18300200128658,198.7651407343476,70819900,45.832353517277966,-1.6131831831943941,204.5839288330078,224.46090370178223,2025-05-30,DON'T BUY,0.22
201.08807373046875,201.51677709467234,199.51286535414474,199.67238359256916,35423300,46.999540340194336,-1.5434917904178747,204.34227203369142,224.36721405029297,2025-06-02,DON'T BUY,0.25
202.6533203125,203.1518034040851,200.35033086337637,200.73914706631285,46381600,49.177881779733056,-1.3464376466227463,204.04888214111327,224.27911544799804,2025-06-03,DON'T BUY,0.25
202.2046661376953,205.6142882803356,201.4868493484558,202.2943894332265,43604000,48.5617770812645,-1.212496554783371,203.6975326538086,224.1738715362549,2025-06-04,DON'T BUY,0.26
200.0213165283203,204.12881205428334,199.54276184010462,202.8826044104843,55126100,45.56980119549331,-1.2679096675684036,203.24237823486328,224.0511042022705,2025-06-05,DON'T BUY,0.265
203.30133056640625,205.07592905349443,201.4370087789868,202.3841235560851,46607700,50.503525601442206,-1.0352218450020416,202.89703186035158,223.9455316925049,2025-06-06,DON'T BUY,0.265
200.8388214111328,205.3750202901374,199.41316716451473,203.76990423179717,72862600,47.05504347287298,-1.037558647742486,202.45623657226562,223.8245669555664,2025-06-09,DON'T BUY,0.29
202.0551300048828,203.73004106569937,199.96151019448254,199.99141796230995,54672600,48.91065566230074,-0.9305379797585829,202.15825103759767,223.71023010253907,2025-06-10,DON'T BUY,0.305
198.1769256591797,203.8795731269679,197.80805305990708,202.88260699920767,60989900,43.65671383906899,-1.1454578830779099,201.6984683227539,223.5857911682129,2025-06-11,DON'T BUY,0.265
198.5956573486328,199.07419684911244,196.7612432530472,198.47602627663701,43904600,44.351774832120505,-1.2673856738922211,201.2259521484375,223.45197135925292,2025-06-12,DON'T BUY,0.25
195.85400390625,199.76210952406473,195.1062792678608,199.12405177447246,51447300,40.80258045905666,-1.5671774008582133,200.68466369628905,223.30275428771972,2025-06-13,DON'T BUY,0.265
197.81802368164062,198.08720880439395,195.96366601516638,196.701426450214,43020700,44.24467739092616,-1.6275234453063092,200.59485870361328,223.15913505554198,2025-06-16,DON'T BUY,0.21
195.04644775390625,197.78810453675544,194.61775963167673,196.6017124403596,38856200,40.652382875509076,-1.8773502100315795,200.74453704833985,223.00930763244628,2025-06-17,DON'T BUY,0.245
195.98361206054688,196.97061404804722,194.47819861622497,195.34555431850023,45394700,42.35663509867041,-1.9769295800412579,201.05075805664063,222.84777374267577,2025-06-18,DON'T BUY,0.225
200.39019775390625,201.08807102199273,196.2627584683704,197.63857663438114,96813500,49.674580291615094,-1.6808959875011453,201.62512603759765,222.71219703674316,2025-06-20,DON'T BUY,0.19
200.888671875,201.686247808318,198.3563846401482,201.01828233775666,55814300,50.44103611045301,-1.3900410094693427,201.6831576538086,222.6100594329834,2025-06-23,DON'T BUY,0.235
