Close,High,Low,Open,Volume,rsi,macd,sma_50,sma_200,action,prob
GS,GS,GS,GS,GS,,,,,,
612.8681640625,614.2076185957554,594.8649646164886,598.5877020710075,3337200,47.75768038679202,0.1887402590024294,600.6944360351563,518.591552734375,DON'T BUY,0.42
596.0960693359375,619.2599839628292,589.261142015849,612.9765755571404,3152300,41.353734986613475,-1.5982015924068946,601.1242895507812,519.3867752075196,DON'T BUY,0.47
572.3412475585938,590.9156827600317,558.9766973201781,586.9565284500029,4061000,34.331889684119844,-4.87498567369903,601.3073864746094,520.0395674133301,DON'T BUY,0.45
584.0906372070312,588.0793062030383,568.0472974181786,573.2768990154,2600600,39.77861495619524,-6.449438008469087,602.2043005371094,520.7143934631348,DON'T BUY,0.42
559.0751953125,577.8269593269619,556.0713857534439,571.799623782615,4332300,33.42242995892218,-9.605019242300273,602.5276000976562,521.2717063903808,BUY,0.74
551.1962890625,559.5675946534653,536.6597535008907,559.5675946534653,4069600,31.704106846512374,-12.596398550945196,602.455966796875,521.7742073059082,BUY,0.725
523.6102905273438,538.1960549558734,515.2094716105256,534.0892083370338,5272100,26.55610547456412,-16.99711557276271,601.7408850097656,522.1618081665039,BUY,0.77
523.3838500976562,531.8142445819522,516.2633355124476,524.4080822852818,4190500,26.518041466098765,-20.269335090540494,600.78587890625,522.5122860717773,BUY,0.77
527.5990600585938,536.7483824049316,520.5868658166095,535.7635229876748,3078100,28.570515066519334,-22.265794201994936,599.9457543945313,522.9225289916992,BUY,0.77
516.8640747070312,529.9922677312157,512.1859924176704,527.5596336830025,2529100,26.537573071337903,-24.43258243186881,598.9899072265625,523.299476928711,BUY,0.77
533.2127075195312,535.340037510511,518.7254640477582,525.9050675174568,2808100,34.21472727431754,-24.547610109184575,598.4125817871094,523.7435697937012,BUY,0.745
542.992431640625,548.7242606999802,531.8240991104436,533.0354569895482,2695600,38.364244424222754,-23.57783773150493,598.0490783691406,524.2431619262695,BUY,0.775
543.42578125,545.3659255313171,538.3734474154263,541.958290162511,2641000,38.54921082168184,-22.514782051019438,597.6481823730469,524.7576400756836,BUY,0.77
548.901611328125,554.4758895593793,536.3544510071562,540.6878567817038,2769800,40.9602318276611,-20.988506602230018,597.2556665039062,525.3198071289063,BUY,0.78
554.1607666015625,559.8335672500663,543.6424737787355,544.7257952436545,2531300,43.26269629363604,-19.133987734759216,596.9044372558594,525.8777813720703,BUY,0.77
556.58349609375,558.4153202839019,542.8644108704717,546.9220270837562,3565600,44.33957898365244,-17.269699799503428,596.6657556152344,526.4553338623047,BUY,0.77
571.3169555664062,573.8972825737269,564.3737083121879,566.2941963044742,1877700,50.49343066782195,-14.436950948712251,596.723701171875,527.1050024414062,BUY,0.72
577.068603515625,578.0042321044738,569.4556584773645,575.8375290858387,1875500,52.69232513948757,-11.594216246887413,597.2890747070312,527.7525044250489,BUY,0.72
565.2305297851562,583.6671303080553,562.3547569659171,579.481477563563,1944200,47.969714735208065,-10.179222390658651,597.5598657226562,528.3581689453125,BUY,0.765
550.4576416015625,557.4304635240892,544.1840915471103,556.4456040478982,2100900,42.81293256199273,-10.133070450815694,597.3670300292969,528.9054316711425,BUY,0.77
534.8969116210938,552.0137753332649,529.5688479280263,547.5326764227975,2773100,38.15959415119568,-11.222746730567906,596.1889367675781,529.381483001709,BUY,0.775
538.0188598632812,539.1022413502085,520.5868952800846,525.7376910883197,2455100,39.57852553762792,-11.699542853725461,594.9347106933594,529.9181254577637,BUY,0.765
540.1461791992188,543.6030454981634,525.166445274142,535.02489801971,1869600,40.5790332702121,-11.770072258418395,593.4692102050781,530.4439317321777,BUY,0.76
554.5743408203125,558.7304790212827,530.9180573412707,531.6271273029236,2560700,46.99034775066182,-10.540234001627141,592.1197937011718,531.0532695007324,BUY,0.76
503.4897155761719,521.9656587188498,501.8449870436741,517.4747019587511,5193900,33.29327457732258,-13.531695683142175,589.788080444336,531.4066510009766,BUY,0.735
463.6816711425781,484.55084510765255,453.0353429868296,479.62654790127397,8105200,26.749841743018308,-18.896796605719715,586.5275146484375,531.5429609680176,BUY,0.77
458.4619445800781,482.56145717523964,432.72756164706095,440.1336940912691,6353800,26.027499236799784,-23.301263588728148,583.2135137939454,531.6180299377442,BUY,0.765
455.22174072265625,484.4720787016769,445.97389596824473,480.85763125968697,4240900,25.565975973987207,-26.744993144227294,579.9056610107422,531.6738929748535,BUY,0.765
509.0443115234375,514.0966454340006,440.3405049986273,444.5261577631761,7024100,43.49086888967495,-24.844747197684512,577.5856683349609,532.0370161437988,BUY,0.77
482.3841552734375,495.4828042276025,466.8233877054656,495.4828042276025,5374500,38.5400172488437,-25.199555604835496,574.7407037353515,532.209108581543,BUY,0.77
486.95391845703125,490.97213186777213,471.3340316433951,479.62656160021623,3770200,39.804923919851795,-24.82582546354365,571.8240618896484,532.4268798828125,BUY,0.765
496.3494567871094,504.2480184435212,489.6228501787322,502.27829962147615,4392600,42.428457180739805,-23.500599925219944,569.1992102050781,532.6989967346192,BUY,0.77
500.2003173828125,510.7974154642413,499.3237779810053,499.727573991953,2501200,43.51508028375521,-21.88731354510719,566.8087634277343,533.0383546447754,BUY,0.77
491.4941101074219,501.73667271540984,485.2304182586622,494.12369813615373,2765600,41.60322947288985,-21.068426921174137,564.2087176513672,533.3033535766601,BUY,0.775
501.77606201171875,507.0352382427205,491.56307370435394,495.6206900756959,2593500,44.69366939087439,-19.366540361098373,561.5934185791016,533.5647953796387,BUY,0.765
493.76910400390625,501.5593456167638,487.19025029670365,497.74794447318584,2859300,42.79436435122124,-18.451183833330617,558.5676898193359,533.7767506408692,BUY,0.77
512.1170654296875,513.1117831106837,501.22452211204865,502.50485745446946,2514600,48.22412976174648,-16.06009921683102,555.9543902587891,534.0692485046387,BUY,0.765
521.2958984375,543.4355173174877,520.2618081455942,525.5504980288971,3048100,50.74293791025009,-13.271506650952233,553.6299200439453,534.4230062866211,BUY,0.72
537.11279296875,538.5605676167324,515.4951160379107,519.119391597421,2223600,54.8215934173283,-9.67372309227568,551.6862725830078,534.8555090332031,BUY,0.72
536.6105346679688,540.7765312434269,533.0256316484582,536.3544615792817,1612700,54.66679634894223,-6.784771130499962,549.6980828857422,535.2466748046875,DON'T BUY,0.375
538.1272583007812,546.1045962575979,534.2567075431939,536.6105361899653,1459700,55.079294173878026,-4.3230357010722855,547.7412078857421,535.6160502624512,DON'T BUY,0.395
540.6090698242188,542.5394161196025,533.1044451054607,535.5567356876696,1695600,55.7882030991738,-2.1470809758498035,545.6066082763672,535.9961866760254,DON'T BUY,0.415
539.259765625,541.199969948155,523.4035529419607,527.6482946552421,2438300,55.27744228445609,-0.5254417856461941,543.216880493164,536.36642578125,DON'T BUY,0.425
545.4447631835938,549.8962873253442,537.2408665751005,539.8014772751246,2583000,57.21127493328239,1.2444513086251163,541.0300360107422,536.707727508545,DON'T BUY,0.42
557.5289306640625,561.1532664682138,551.2258660238679,553.0774066653822,2883000,60.77961317461022,3.5809170782638375,539.592318725586,537.0571493530274,DON'T BUY,0.41
551.0879516601562,557.9819678129409,549.0591435967788,549.9061082974688,2197200,58.00305140068454,4.856862964953962,538.3523175048828,537.3784378051757,DON'T BUY,0.405
541.0423583984375,549.0000393703982,538.7771937468856,541.2787150422796,2902500,53.86969976542366,4.99982893547201,536.9008197021484,537.7269076538086,DON'T BUY,0.415
543.5636596679688,546.9712953112224,539.4469540102887,541.879588328178,1954900,54.7414380086697,5.255990649709815,535.719857788086,538.094188079834,DON'T BUY,0.415
557.135009765625,563.4971634201002,549.7584220118214,550.3591718570862,1994600,59.20971003862821,6.479404642732447,534.7542657470703,538.5190977478028,DON'T BUY,0.28
558.5137329101562,563.438029832697,557.2137714203263,561.6160640157756,1522500,59.64559163648,7.4740641229522,534.0077398681641,538.9261322021484,DON'T BUY,0.31
582.3868408203125,594.2346692995834,579.1761892455464,587.2323327095943,3527700,66.35068137384951,10.07258868720578,533.3981134033203,539.4789491271972,DON'T BUY,0.31
594.66796875,598.5089445631918,584.0807299001793,584.3170865451051,2765800,69.18703919936837,12.973373537496855,533.3695513916016,540.0688874816894,DON'T BUY,0.31
602.3400268554688,605.6885730925965,593.3778297370559,594.6581350238217,2874400,70.84060530070461,15.710239539300801,533.9695269775391,540.661704864502,DON'T BUY,0.33
606.5750122070312,609.8348948664277,600.4983855905501,600.4983855905501,2428100,71.74207897509177,18.01330729480685,534.4192144775391,541.3062828063964,DON'T BUY,0.345
609.6575927734375,611.3908949649983,604.2703801599513,607.6090682238901,2021800,72.41067355119176,19.858329116585537,535.4308624267578,541.9035026550293,DON'T BUY,0.345
603.0294189453125,610.0022405636839,589.2808197284752,599.966520534615,2842100,68.64949356421106,20.548810077654707,536.467525024414,542.4512953186036,DON'T BUY,0.325
597.3369750976562,602.290786892054,593.880108797378,598.5483329901791,1601600,65.50268598602673,20.401512631070773,537.9420587158203,543.0138140869141,DON'T BUY,0.33
584.4747314453125,600.6362491407987,583.0368149576341,592.6884258857357,2635900,58.92960422568705,19.02756485158227,539.1638763427734,543.6549157714844,DON'T BUY,0.32
589.1724853515625,593.0824088634783,583.5391178084353,583.5784905488505,1939600,60.48910296729794,18.109021292064654,540.3953448486328,544.3758308410645,DON'T BUY,0.335
589.477783203125,592.8460459714443,573.6806584707927,576.1428072195944,1530600,60.59382512698861,17.207348288669095,541.8476190185547,545.0439839172363,DON'T BUY,0.335
606.4075317382812,608.3181616075037,595.7907773927656,596.7264059570081,2364700,65.97879025727299,17.655335439369765,543.3115155029296,545.7832621765136,DON'T BUY,0.33
599.2278442382812,609.2635637360878,598.1149483287595,607.9340276160272,2001900,62.10291056951539,17.23238351539601,544.4362237548828,546.4247920227051,DON'T BUY,0.36
595.7020874023438,600.7642795286309,589.2414116531664,599.3067067417046,1736100,60.23170043236152,16.423373530892718,545.4817498779297,547.026929473877,DON'T BUY,0.325
594.3065185546875,597.4242531391395,587.7542558001517,593.8611106395726,2129500,59.46790537827083,15.491045418082535,546.3898480224609,547.6451614379882,DON'T BUY,0.325
