Close,High,Low,Open,Volume,rsi,macd,sma_50,sma_200,Date,action,prob
JPM,JPM,JPM,JPM,JPM,,,,,,,
257.04522705078125,258.30723306371834,252.40144329619352,253.20005483078515,6671800,60.03973755307928,5.876758164520567,240.41638458251953,232.52089004516603,2025-05-23,DON'T BUY,0.19
261.56085205078125,261.5706910214846,258.30722178470336,258.35653699260183,7506600,64.828609326598,5.839228090096526,241.09220825195314,232.85782173156738,2025-05-27,DON'T BUY,0.215
259.7861328125,262.9707397963694,259.20443000527837,262.49747628554394,5535400,61.69907306591538,5.601707231125374,241.70333618164062,233.16814834594726,2025-05-28,DON'T BUY,0.18
260.6537780761719,261.6791673467857,258.83964634422205,261.0777263969251,5081200,62.64840834874827,5.420992137795594,242.311435546875,233.47438331604005,2025-05-29,DON'T BUY,0.185
260.2889709472656,261.600261993738,259.0368340780119,259.74671429323007,10977700,61.953097252571794,5.188527126894655,242.8311019897461,233.77690475463868,2025-05-30,DON'T BUY,0.18
260.939697265625,261.3044913883967,258.21848475626587,259.3227361836595,6011200,62.74732726528635,4.999177697859608,243.36574279785157,234.0742017364502,2025-06-02,DON'T BUY,0.185
262.52703857421875,262.83267850504353,259.184707363763,260.02276495317653,6998400,64.68399528875965,4.920481837074874,243.88078338623046,234.3682926940918,2025-06-03,DON'T BUY,0.215
260.5058898925781,263.3651188956681,260.4664437433463,262.182005216077,5915700,60.37970679408199,4.641520434938002,244.2293850708008,234.64593139648437,2025-06-04,DON'T BUY,0.18
258.267822265625,261.0185820125706,256.6508610440278,261.0185820125706,8173800,55.94064083090907,4.1915308027953415,244.47305908203126,234.900655670166,2025-06-05,DON'T BUY,0.225
261.9946594238281,262.90171018684686,260.5453219261883,260.61431507286125,7738100,61.07285787400374,4.0885056414827545,244.7932290649414,235.16684394836426,2025-06-06,DON'T BUY,0.175
262.9904479980469,264.13414558351,259.6481165969787,262.26085974590114,8285000,62.33530359540767,4.040631391201373,245.19034576416016,235.44251655578614,2025-06-09,DON'T BUY,0.18
264.8243408203125,265.12011173513696,262.1129971095637,262.1425742010461,7538100,64.61152024447593,4.1033694385837975,245.72742248535155,235.72697120666504,2025-06-10,DON'T BUY,0.215
264.3806457519531,265.8299833646017,262.05383439482847,264.9031944101953,7434100,63.60990890573729,4.070366656138788,246.20760986328125,235.99937255859376,2025-06-11,DON'T BUY,0.2
