Close,High,Low,Open,Volume,rsi,macd,sma_50,sma_200,action,prob
QCOM,QCOM,QCOM,QCOM,QCOM,,,,,,
153.7288055419922,153.86573968462753,150.0413444460733,151.70413536697666,10149500,36.94067092541094,-1.9305522926525498,160.61310241699218,170.33695533752442,DON'T BUY,0.25
150.25653076171875,156.5750975393224,149.1806238911829,155.50896634885146,9601900,33.473749267788236,-2.608411535802645,160.5295718383789,170.20028861999512,WAIT,0.545
151.07814025878906,153.75813903480528,148.03623239919662,151.87040310643476,8956800,35.02758221297297,-3.044230851486674,160.46188690185548,170.0447853088379,BUY,0.555
155.01991271972656,155.66545086808102,149.679451271706,151.64543753088546,6786900,42.02392199877228,-3.0365492546231962,160.56830474853516,169.8818042755127,DON'T BUY,0.26
153.4464874267578,155.25591660186205,151.52890094204182,151.5485727279604,7808100,40.16472290169447,-3.1214417675780908,160.69509368896485,169.71741546630858,DON'T BUY,0.305
158.5404052734375,159.13043883067385,152.6401297217805,152.6401297217805,8727600,48.160818001755445,-2.746028588903613,160.87505157470704,169.57565223693848,DON'T BUY,0.195
152.40411376953125,156.6129758089919,150.0735097210702,154.734732823169,10139900,41.04507258812079,-2.9101124168759043,160.82762634277344,169.38440834045412,DON'T BUY,0.245
150.55535888671875,153.63332552532188,148.3525841154133,152.27627245659554,8692900,39.16744348925162,-3.1529834702765527,160.72131622314453,169.16902587890624,DON'T BUY,0.365
150.26036071777344,153.26949898849753,149.39498212821925,151.6469291382608,7117400,38.861952736899916,-3.330868241030231,160.62534301757813,168.94214225769042,DON'T BUY,0.365
149.41464233398438,153.04331408688145,147.91990170566655,150.06367622584062,5861700,37.94814562181036,-3.4997427531078245,160.5376904296875,168.716669921875,DON'T BUY,0.395
153.97750854492188,154.34135402743624,150.9880275369487,151.00769932132582,5309400,45.406869979025515,-3.228179408101113,160.59333038330078,168.4725570678711,DON'T BUY,0.335
155.32473754882812,156.08194371433797,152.85646122368806,153.01380549278693,5781000,47.416640603220145,-2.871156474714752,160.69469451904297,168.22206916809083,DON'T BUY,0.23
153.6923370361328,157.0751640713979,153.32849151373654,155.32475019934182,6898400,45.24327630703143,-2.6889379042741552,160.76301910400392,167.98665313720704,DON'T BUY,0.215
155.6295928955078,157.84219618230856,152.48278233309316,153.8300070882887,5871000,48.27340175611994,-2.360991971081148,160.78812377929688,167.77355598449708,DON'T BUY,0.095
155.32473754882812,156.47528938190976,153.91851253234233,155.37390950856843,5089300,47.824895300317216,-2.101467327760986,160.7676156616211,167.56256454467774,DON'T BUY,0.11
154.2135467529297,154.80356532111705,151.00772067892098,152.40411746369463,10949300,46.142076212807275,-1.9628297097013387,160.71177734375,167.33701469421388,DON'T BUY,0.205
157.4193572998047,158.32406443883391,156.160633018966,157.34068515660513,6033400,51.44980013077743,-1.5761078888531586,160.74822479248047,167.13494758605958,DON'T BUY,0.07
157.48817443847656,158.78624219782347,156.7703118168125,157.22267285557228,3978200,51.56015839805539,-1.249669677538435,160.82712890625,166.89677886962892,DON'T BUY,0.045
155.75743103027344,158.13720689582925,154.24303366316548,156.79981058239883,5960300,48.569944754414415,-1.1177369955099152,160.86848419189454,166.66186294555663,DON'T BUY,0.035
155.34442138671875,156.60314562682163,153.16131825040796,155.58043780867925,6102000,47.85669299774816,-1.0345798287852404,160.8546301269531,166.43853103637696,DON'T BUY,0.055
150.18167114257812,155.0198949582185,149.04094768059142,154.31186074079056,8918000,39.95755420526773,-1.3694814432339797,160.64205780029297,166.17617195129395,DON'T BUY,0.155
151.056884765625,151.2929011836964,145.42212595511,148.30341990883053,8613600,41.71393795705128,-1.5464445109124938,160.5052847290039,165.92220611572264,DON'T BUY,0.205
150.50621032714844,150.77172694923235,147.76257357769637,149.8571763643557,5708900,40.903193872186556,-1.711395934973126,160.29626892089843,165.63223579406738,DON'T BUY,0.205
151.51907348632812,152.87614162473344,147.8707299425009,148.28374741828162,5377200,43.093986646953624,-1.7403300928641556,160.0544970703125,165.3356167602539,DON'T BUY,0.155
137.1027374267578,144.95009988026797,136.2570306456904,144.5567541703107,16465000,27.47933466409515,-2.893187593481116,159.466298828125,164.97891944885254,DON'T BUY,0.44
125.34152221679688,133.60190967513432,124.57448757827063,132.10716896703167,19018600,20.843816292540367,-4.701669326172407,158.56228057861327,164.53006797790528,BUY,0.78
127.56394958496094,134.91962171650908,118.79220902056383,122.51920954423039,17938300,24.551309891899166,-5.887703038072203,157.7467254638672,164.0687575531006,BUY,0.84
122.58805847167969,133.04136948805996,119.7165854167392,128.95052329323713,14965900,22.059993336131896,-7.146772581639226,156.84984527587892,163.63880920410156,BUY,0.845
141.20343017578125,142.4523260890271,122.12587774568934,123.07975686771167,21242600,44.67738334115753,-6.566791460384309,156.31803497314453,163.31616760253905,BUY,0.555
132.16616821289062,136.7487192236697,127.14109953055221,134.73278871414718,14898800,38.79200816536735,-6.758476248915116,155.60234924316407,163.00491996765138,BUY,0.615
